"Comment ID","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7642972880171942676""","=""6824489454361150465""","gadiz_melayu","Gadiz Melayu 🫰","kek mana kami yg pernah mati listrik dan stok makanan yg menipis krn akses terputus total smw selama 1bln stgh..","23/5/2026, 13.38.43","1","No","0","No","https://www.tiktok.com/@gadiz_melayu"
"=""7642935094123234066""","=""7074229583603729410""","ultahku0930","—✦ dαy ʚїɞ.","dsni bru hdp jm 8 td pdhl mti ny dri jm 7mlm😭","23/5/2026, 11.11.48","1","No","0","No","https://www.tiktok.com/@ultahku0930"
"=""7643111001513362197""","=""6897075059958219777""","imlibra_21","jeniy","Ampun kali gacoan penuh 🙏","23/5/2026, 22.34.33","0","No","0","No","https://www.tiktok.com/@imlibra_21"
"=""7643007472597730068""","=""7495926247265534984""","nurlia_ayuni","SAYA TIDAK TAU","Tembong pasar 8 ngga idup² ya Allah 😭","23/5/2026, 15.52.56","1","No","0","No","https://www.tiktok.com/@nurlia_ayuni"
"=""7642968086483911431""","=""6973832425458926594""","pcyll","liaaa","baru hidup di tempat ku, Medan Johor Simalingkar","23/5/2026, 13.19.49","1","No","0","No","https://www.tiktok.com/@pcyll"
"=""7643112584815985426""","=""7619583225291408392""","leeee03937","Leeee","di Siantar jam 6 sore mati terus jam 6 pagi hidup terus mati lagi jam 3 sore terus hidup lagi jam 10 apa gak menyala kali di buat Siantar ini 😭","23/5/2026, 22.40.33","0","No","0","No","https://www.tiktok.com/@leeee03937"
"=""7642917590864446226""","=""6689575635029066753""","bevilss","Vio Siahaan","1 lagi supermarket antri nyari Lilin 😅🤣","23/5/2026, 10.03.57","2","No","0","No","https://www.tiktok.com/@bevilss"
"=""7642923268001268487""","=""7513963487430788101""","rama28841","Rama","gacoan rame x di mna""","23/5/2026, 10.25.56","1","No","0","No","https://www.tiktok.com/@rama28841"
"=""7642946490974241543""","=""7075152354274100250""","febriyanti321993","Febri Yanti16432","tanpa bisa kipas dan AC, sumpah gelisah kali dibuat anak sendiri, tangan pun pegal gak karuang asek ngipasin aja","23/5/2026, 11.56.11","2","No","0","No","https://www.tiktok.com/@febriyanti321993"
"=""7642918773478408967""","=""7340832257190495238""","cyupp_0","cyupp_0","kekeh snt lgsg tutup😭😭","23/5/2026, 10.08.39","1","No","0","No","https://www.tiktok.com/@cyupp_0"
"=""7643048047991407368""","=""6910156309897806849""","silviaaudriani","Aaaudriii🍭🌼","udah hidupp lampu, tp air pdam gak hiduppp😭😭😭","23/5/2026, 18.30.06","1","No","0","No","https://www.tiktok.com/@silviaaudriani"
"=""7643024457424192274""","=""6963347984516203521""","auliyaaak3","auliaaa.","lah rumah ku ujan deras x we😭","23/5/2026, 16.58.39","2","No","0","No","https://www.tiktok.com/@auliyaaak3"
"=""7643114556110193426""","=""7385148274766365701""","leo245751","Jernitamarbun12","semalam mati lampu jam 7 malam, aku dan bos pergi carik"" tempat untuk numpang ac sambil Bawak Cok sambung semuanya penuh dari jam 8 sampe jam 11 malam di mobil mutar"" carik tempat semua full ujung"" ny pulang gk jadi nongkrong 😂 pagi ny belum hidup lanjut ke hotel cek in 😂😂","23/5/2026, 22.48.11","0","No","0","No","https://www.tiktok.com/@leo245751"
"=""7643105438586274567""","=""7156042473616917531""","zizinih12","pisces","Sergai jam 10 malam 23 mei tadi wee hidup","23/5/2026, 22.12.46","0","No","0","No","https://www.tiktok.com/@zizinih12"
"=""7643114909076620033""","=""7150182551834297345""","cantikajaya0912","Limayibu","Setelah 26 jam mati lampu , begitu idup lampu kek orang kemarok aku , semua kerjaan rumah ku kerjain padahal dah malem tapi daripada lah","23/5/2026, 22.49.37","0","No","0","No","https://www.tiktok.com/@cantikajaya0912"
"=""7642928306107433748""","=""6524203650042068994""","ptrwrdyni","PtrWrdyn","Mati lampu 15 jam pun ada core nya ya😭😭","23/5/2026, 10.52.22","3","No","0","No","https://www.tiktok.com/@ptrwrdyni"
"=""7642909896039760661""","=""7578367837006464016""","ndredilla0802","ilaa🌻","pas mati lampu Bintang banyak kaliiii jdi terharu liat kecantikan nya🥺🥺🥺","23/5/2026, 09.34.08","3","No","0","No","https://www.tiktok.com/@ndredilla0802"
"=""7643012016587850514""","=""7027111873351943169""","pacargemgem","德西lija","aktivitas warga sumut saat ini","23/5/2026, 16.10.15","2","No","0","No","https://www.tiktok.com/@pacargemgem"
